question_text,target
Why are most indian parents against even liking someone?,1
"Is it OK that I have a 7"" penis and only 12 years old?",1
Why do guys past 40 who party like they are still in college seem like losers?,1
"Those who say that the Muslim is a traitor, is a terrorist, my question has been raised from any Muslim, have you ever killed or damaged them?",1
What is a proper way to cook a dog?,1
"If Islam is so peaceful, then why are most of the terrorist attacks done by Muslims? Why is the West putting up with these people?",1
Why do Turkish people always try to cheat foreigners? Where does this mentality come from?,1
Why don't East Asians believe in racial equality? Haven't they suffered enough from White supremacy?,1
"If aliens are watching a pissing match between the US-Russia in Syria, what would they think? Will they intervene?",1
Do Americans think that Trump should skip traveling to the UK during his tenure? It would be useless going to that country anyway. British hatred of Trump and the USA can't separate the Trump that is president from the Trump that causes controversy.,1
Why don’t Arab world completely destroy Israel?,1
"Do Christians use word emptiness(vanity) to mean OBSESSION with appearance or did they begin calling ""general human wish to look beautiful""vanity?What are girls talking about here - https://www.rappler.com/life-and-style/23769-women-vanity-self-love?",1
"Why do Democrats want heavy regulation of the economy that will destroy small businesses due to compliance burden, while benefitting the rich?",1
Why is it that leftists still can't accept the fact that Clinton lost?,1
Is it possible to smile and be happy when I am on the streets or on the subway in New York City without being killed? I feel some people in New York hate to see me being so happy. They want to make me as depressed as they are.,1
Why do Lingayats worship a small stone? Are they so dumb that they believe that God is in stones?,1
Why do Pakistanis these days ask irrelevant or stupid question about India even after getting very smart roasting replies?,1
Should Trump officials offer their houses to Nikki Haley's staff when she comes to DC to serve as Pence's VP?,1
Do brothers love their sisters after marriage?,1
How come black people are drawn to multi-level marketing pyramid schemes?,1
"If African leaders had basic education, why is that one of them is missing for over a month now?",1
Why do Trump supporters think Christianity is an okay excuse for their behavior and irrational logic?,1
How do extremely fat people shit?,1
Why men Muslim easily divorced woman if they meet the new woman..is that right?,1
"If you say something gay without socks on, does that make you gay?",1
"Quora sucks, what do you say?",1
How does it feel being Jeff Glueck?,1
Are all black bodies black?,1
Why are liberals so against working for a living and changing a system that has worked to keep us free for over 200 years?,1
Are Pakistani women weaker than English women?,1
Why isn't there any qualification criteria or entrance exam (for fooling Indians) to be a MP or MLA or PM or President?,1
Why USA people dont save money by electing anti war politicians?,1
Are Sikhs as fanatic as Muslims?,1
"Why can’t we divide the U.S. down the middle? Liberals can live on one end and conservatives can live on the other end. Each end can have the policies they prefer with borders or no borders, wealth redistribution or capitalism and so on.",1
"Do liberals not see the hypocrisy when they claim to promote gender and race equality, but then discriminate against men and white people? Or do they simply not care?",1
Could any Israeli or American justify cruel murders of the young medic Razan al-Najjar along with 119 other protesters? The American Government is deliberately supporting the Israel. Where are the Malala supporters now?,1
When is Trump going to put Hillary in jail? It is honestly the only reason I voted for him.,1
Why is it common to see girls slapping boys mercilessly in Indian schools especially in sub-senior grades?,1
How many people have noticed that the human race is devolving very rapidly?,1
Which side of the ear is gay left or right?,1
How likely is it that Trump is reincarnated as a beggar in his next life to reap the fruits of his bigotry and racism in this life?,1
"Which girls are more pretty, Punjabi or Gujarati?",1
I don't want this baby if I am pregnant. I'm only 21 years old and the father is 17 years old. How can I get rid of the baby?,1
"Why do Americans say ""she gave birth to a baby girl""? Can you also give birth to a toddler girl, or a teenage girl or what?",1
How would everyone fuck women in the future if there'll be universal basic income?,1
"Why won’t the authorities in China say that the stabbing attack in Shaanxi is a terrorist operation from a western organization, occurring just after the attack in Toronto, even if they have been warned of it?",1
"Everyweek in Pakistan, a Hindu dies just because he/she is a Hindu. Why are Muslims killing a Hindu per week?",1
Is it true that Russians are the rudest?,1
Do husbands in India force their wives to wear sleeveless tops?,1
Would rape be considered cheating in a relationship?,1
"If the Quran says fighting is prescribed for you - 2:216, and those who die fighting get a big reward - 4:74 how can Muslims say Islam has nothing to do with terrorism?",1
Why don't the Indians take revenge on the white people like black people and ISIS?,1
Why does the left demonize good cops?,1
Why don’t guys talk about their feelings? Why do girls blabber everything on their mind?,1
"Halle Berry has a white mother that raised her along with Obama, so why do they say they are only black? That is just wrong!",1
Can I eat slaves?,1
Are Indian White Jews including Paradesi Jews racist and hate other non-White Indian Jews?,1
Why do all gays act the same?,1
Where will Hillary Clinton be buried if she dies?,1
"Why do Europeans blame Islam when they funded and created Radical groups? Why do they fund brutal dictators in the Middle East, but blame Islam for the dictators? Do they always rewrite history?",1
Why do people from Iran behave so badly on Quora?,1
Is the hatred against Tambrahms a result of British conspiracy?,1
"We are Indians, but why we are lazy about our work?",1
Do you still think Islam is a religion of peace after looking at what happened at the las Vegas shooting?,1
Is Alexis Tsipras a hero for solving the long standing FYROM name issue and pissing off citizens of Greece?,1
"Are people from Yulin, China, not embarrassed of where they are from?",1
"Do my black kids have white privilege? My two daughters are half white, half African. Does this mean they should feel guilty for the white privilege they inherited from me?",1
Do you loose all your wealth for your loved one?,1
"Do social justice progressives in the US promote open borders and multi-culturalism, in part, as a means to dilute and ultimately replace traditional American/Western culture?",1
Bahaahahahahahaha! You ducks are scared of the truth! Earth's flat and I fly airplanes?,1
"As a Chinese girl, I asked my white boyfriend to roleplay rape me and threatened to accuse him if he ever breaks up with me. Lately, it doesn't seem to work anymore. How should I best execute my plan?",1
"Why do Liberals bother answering damn, fool-questions?",1
How do I tell my mom she's fat and ugly?,1
How do I tell my wife she is no longer good enough?,1
Why do people living in kuppams in Chennai look so ugly?,1
Have you connected with a banned Quora user? What are they up to now?,1
How do I spy on FaceTime?,1
"Is there any chance Trump's uneducated minions learn something from the intelligent and mostly civil answers they usually get here, or are they just trying to get a rise out of those who are better informed?",1
Why don't women kidnap teens?,1
It took over 3 centuries for Persia and 5 for Egyptians to convert to Islam. Why does everyone say Islam was spread by the sword when it clearly wasn't? Why do Europeans rewrite history to push violent agendas?,1
Is Jeff Flake the most stupid person in the history of the world?,1
Does the European Union have the same immoral and toxic anti-humanity attitudes as a multinational company?,1
"Do you think that feminism today has been hijacked by pseudo-feminists? If yes, why don't women speak out against misandrist women masquerading as feminists?",1
Why do people not understand that Islam is incompatible with the modern standards of human rights?,1
Are women lesbian or bisexual only because that turns men on?,1
Why do I want to murder the people around me?,1
Why do a majority of Fundamental Evangelical Christians hate Wikipedia?,1
Why is Rahul Gandhi still not able to understand that he is useless?,1
Why do I hate Americans so much?,1
"Why do people only cried for the Kathua rape case, and now silent when Geeta was raped by Muslims in Masjid?",1
"Why can Liberals be paranoid about Russia, while Trump can't be paranoid about Mexico?",1
Why are women allowed to make endless sexual assault accusations against male celebrities with no actual evidence?,1
Why do women more can restrain their desires than men?,1
How can I get 2 PhDs?,1
"Most of Muslims in different parts of the world are descendants of Arab invaders and traders marrying local women, do Arabs consider them Arabs?",1
Would Obi-Wan have castrated himself to protect Luke?,1
How did the U.S. become the weakest military country when we are so old?,1
Why are Westerns turning a blind eye to Israel's brutality?,1
"Are Singaporeans just naturally ignorant, or merely boorish?",1
Do professors of IITs and IISc demand for sexual favors from there female Ph.D students?,1
How do I use a black mask?,1
"Why do USian gun-lovers cling to the 2nd Amendment like an immovable, god-given right? Doesn't the word ""amendment"" denote a change to the original?",1
Is it legal for Fb to difficult the deletion of an account (14 days)?,1
Are u ready to suck it?,1
